2019-07-01 14:04:06 - PHP Notice:  Undefined offset: 0 in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 83
2019-07-01 14:04:06 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 41
2019-07-01 14:04:06 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-01 14:08:30 - PHP Notice:  Undefined offset: 0 in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 83
2019-07-01 14:08:31 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 41
2019-07-01 14:08:31 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-01 14:10:04 - PHP Notice:  Undefined offset: 0 in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 84
2019-07-01 14:10:04 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 42
2019-07-01 14:10:04 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-01 14:11:04 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 42
2019-07-01 14:11:04 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-01 14:13:03 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 42
2019-07-01 14:13:04 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-01 14:13:08 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-04 0:42:04 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\view\template\extension\module\menunav.tpl on line 64
2019-07-04 1:15:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 42
2019-07-04 1:20:15 - PHP Warning:  Invalid argument supplied for foreach() in Unknown on line 0
2019-07-04 1:23:06 - PHP Warning:  Invalid argument supplied for foreach() in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 42
2019-07-04 4:47:59 - PHP Warning:  ftp_connect(): php_network_getaddresses: getaddrinfo failed: ���� ���� ����������.  in C:\wamp64\www\boost\admin\controller\extension\installer.php on line 291
2019-07-04 5:14:25 - PHP Warning:  Missing argument 1 for MenuNav::__construct(), called in C:\wamp64\www\boost\admin\model\extension\module\menunav.php on line 35 and defined in C:\wamp64\www\boost\system\library\menunav.php on line 6
2019-07-04 5:14:25 - PHP Notice:  Undefined variable: that in C:\wamp64\www\boost\system\library\menunav.php on line 7
2019-07-04 5:14:46 - PHP Notice:  Trying to get property of non-object in C:\wamp64\www\boost\system\library\menunav.php on line 86
2019-07-04 12:11:44 - PHP Notice:  Undefined property: MenuNav::$db in C:\wamp64\www\boost\system\library\menunav.php on line 46
2019-07-04 12:12:57 - PHP Notice:  Undefined property: MenuNav::$db in Unknown on line 0
2019-07-04 12:13:22 - PHP Notice:  Undefined offset: 0 in Unknown on line 0
